quarter,date,turn_number,speaker,text,word_count,speaker_type
2025Q1,April 11 2025,12,Jeremy Barnum,"I just -- before Jamie answers that, Erika, I just want to make one brief comment, which is the banking system being a source of strength means what it says. In other words, banks doing their job to support the economy. That's not a statement about bank equity performance and the extent to which banks are cyclical or not. Like obviously, a recessionary environment, as I frequently said, all else equal, is bad for banks from an equity performance perspective. We're talking about the financial strength of banks' balance sheets and our ability to support our clients in a difficult moment.",101,CFO
2025Q1,April 11 2025,13,Jamie Dimon,"Everyone trades stocks in a different way. So, sentiment -- but banks are a cork in the ocean when it comes to the economy. If the economy gets worse, credit loss will go up, volumes can change, yield curve can change, and we're not predicting all of that. What I would say is our excellent economist, Michael Feroli, I called him this morning, specifically to ask him with -- how they're looking at their forecast today. They think it's about 50-50 for recession, so I'll just refer to that. Obviously, if there's a recession, credit loss will go up, and other factors will change, too.

And I think the one thing I'll add to what Jeremy said is, and I don't usually pay that much attention to anecdotes, but this time I am, and I think you're going to see a lot of companies, you guys -- not you, but the analyst community has already reduced its earnings estimates for the S&P by 5%. So, it's now up 5% as opposed to up 10%. My guess is that'll be 0% and negative 5% probably the next month.

And then, you're going to hear a thousand companies report and they're going to tell you what their guidance is. My guess is, a lot will remove it. They're going to tell you what they think it might do to their customers, their base, their earnings, their cost, their tariffs. It's different for every company, but I assume you see that.

And anecdotally, a lot of people are not doing things because of this. They're going to wait and see. And that's M&A, M&A with middle market companies, that's people's hiring plans and stuff like that. So, people have to adjust this new environment. And I think you will see what it is.

I just also want to point out just so you can round it up, this is to make you feel comfortable, not uncomfortable. When COVID hit, unemployment went from like 4% to 15% in a couple of months, and we had to add to reserves in a two-month period $15 billion. And then, to show you how stupid CECL is, in the three month -- three-quarter period, we took down the $15 billion. So that just sizes up a bad recession. If it's a mild recession, it will be less than that. If it's a really bad recession, it will be more than that. Either way, we can handle it and serve our clients. Earnings won't be great and the stock will go down, which I look at as an opportunity to buy back more stock.",436,CEO
2025Q1,April 11 2025,14,Erika Najarian,"Got it. And a second follow-up question. And I don't disagree with you guys on equity market performance of bank stocks. It's just that the mindset of portfolio managers is they always go back to sort of the lowest common denominator of fundamental performance versus thinking about resilience? And to that point, the second question is on the reserve. Jeremy, you mentioned a weighted average unemployment rate of 5.8%. I think that's above where economists are thinking we could peak even in a recession scenario. How should we think about any incremental builds from here? And what you're going -- obviously, deterioration in outlook, but what more do you need to see in terms of how you make decisions about further builds from here?",124,Analyst
2025Q1,April 11 2025,15,Jeremy Barnum,"Yeah, Erika, it's a good question, but the truth is there's just a little bit too much uncertainty right now for me to sort of give an outlook for reserves, which is generally not a thing that we do anyway. As I mentioned in my prepared remarks, the accident forecast at the end of the quarter was the sort of bog-standard, no landing, barely any increase in unemployment.

Given that we knew at the time that there was some -- there were some big pending announcements and there was quite a bit of elevated uncertainty around that, it felt like the forecasts were kind of lagging because people were just waiting to actually get the information. And so, it felt appropriate to add a little bit of downside skew to our probability assessment, which is what led to the increase and what led to the build.

We use this weighted average unemployment thing as a useful way to help explain what's going on inside the reserve, but obviously, the actual mechanisms are quite complex, the depth of any potential recession, the timing of it, distribution of outcomes, which sectors it hits, idiosyncratic stuff and wholesale, there's a lot.

I think on consumer, as Jamie mentioned, it is worth remembering that by far the most important variable is unemployment. So, if the labor market remains very strong, consumer credit will probably be fine. If it doesn't, then you're going to see it play through the way it always does.",248,CFO
2025Q1,April 11 2025,16,Erika Najarian,Thank you.,2,Analyst
2025Q1,April 11 2025,17,Operator,Thank you. Our next question...,5,Operator
2025Q1,April 11 2025,18,Jeremy Barnum,"Thanks, Erika.",2,CFO
2025Q1,April 11 2025,19,Operator,I apologize. Our next question comes from John McDonald with Truist Securities. You may proceed.,15,Operator
2025Q1,April 11 2025,20,John McDonald,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit card net charge-off forecast. How do we square that with the rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for next year, or just too early to call?",62,Analyst
2025Q1,April 11 2025,21,Jeremy Barnum,"We should have not given you that forecast. We don't know what the number is going to be. I would say it's a short-term number, and based on what's happening today, there's a wide range of potential outcomes.",38,CFO
2025Q1,April 11 2025,22,John McDonald,"Yeah, okay. Okay, yeah, that's what we're kind of thinking, and...",11,Analyst
2025Q1,April 11 2025,23,Jeremy Barnum,"But mechanically, John, though, as you alluded to, there are some mechanical elements to the way card charge-offs works. That means that it's pretty baked, pretty far out of time...",30,CFO
2025Q1,April 11 2025,24,Jamie Dimon,"[At least] (ph) couple of quarters, yeah.",7,CEO
2025Q1,April 11 2025,25,Jeremy Barnum,"So, sort of echoing Jamie's point, it just doesn't necessarily tell you that much about what might actually happen through the end of the year. Even if unemployment were to increase significantly, it probably wouldn't flow through the charge-offs until later.",41,CFO
2025Q1,April 11 2025,26,John McDonald,"Okay, got it. And then, just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to deploying it through your investment agenda and buybacks as the stock gets cheaper? Just are you still looking to arrest the increase or does this kind of change it?",53,Analyst
2025Q1,April 11 2025,27,Jamie Dimon,"The investment that we do in banks, branches, technology, AI is going to continue regardless of the environment. And then, we have, depending what happens to Basel III and CCAR and G-SIFI and all that, $30 billion to $60 billion of excess capital. And in the Chairman's letter, I wrote about what we think of that, but based upon the environment, the turbulence issues, I like having excess capital. We are prepared for any environment and that's so we can serve clients. That's not for any other reason. So -- but we have plenty of capital and plenty of liquidity to get through whatever the stormy seas are.",108,CEO
2025Q1,April 11 2025,28,John McDonald,Okay. Thank you.,3,Analyst
2025Q1,April 11 2025,29,Jeremy Barnum,"Thanks, John.",2,CFO
2025Q1,April 11 2025,30,Operator,Thank you. Our next question comes from Matt O'Connor with Deutsche Bank. Your line is open.,16,Operator
2025Q1,April 11 2025,31,Matt O'Connor,Good morning. Just want to drill down on the credit card spend. Any comments in terms of changing patterns on the consumer card spend? There's been headlines and travel kind of going down. Just talk about some of the puts and takes in that up 7% year-over-year.,47,Analyst
2025Q1,April 11 2025,32,Jeremy Barnum,"Yeah, it's a good question. We're seeing that, too. So, let me talk about travel. I mean, we obviously saw the airlines discuss what they are seeing as headwinds for them specifically in airline travel and we're seeing that too through the card spend. It's not obvious to us that that's necessarily an indicator for broader patterns. There are a variety of potential explanations for the narrow drop in airline spend.

And as I mentioned previously, another thing that we are seeing looking at the April data is what would appear to be a little bit of front-loading of spending, specifically in items that might be -- have prices go up as a function of tariffs. So, you see people behaving rationally and I have noted even you hear anecdotes and I've seen evidence of companies specifically advertising. We have pre-tariff inventory and so on and so forth. So, it's not that surprising that you're seeing that a little bit in the spending data.

The other thing that people are kind of interested in the space is like what's happening by income then, because we have seen some of the retailers and other folks talking about weaknesses in the lower-income segment. And I think when we look at our card data and also our cash buffers and people's checking accounts, of course, it is true that it is relatively weaker in the lower-income segment.

But when you take a step back and you ask, are we seeing signs of distress in the lower-income segment? The answer is no. So, sure, the margin cash buffers are lower and you see some rotation of spend and spending is a little bit weaker than it was in the peak spending moments, but actually, some of the increases in spending that we're seeing in April are actually coming from the lower-income segment. So, no evidence of distress, I would say.",316,CFO
2025Q1,April 11 2025,33,Matt O'Connor,"Okay. That's helpful color. And then, just separately, if we look at the delinquencies for the home lending, they increased both Q2 and year-over-year. Is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios essentially [receding] (ph) from an accounting point of view, or is there something else going on there?",63,Analyst
2025Q1,April 11 2025,34,Jeremy Barnum,"Sorry, I actually didn't hear which fees...",7,CFO
2025Q1,April 11 2025,35,Jamie Dimon,The delinquencies in the home lending.,6,CEO
2025Q1,April 11 2025,36,Jeremy Barnum,"I didn't -- interesting. I haven't looked at that. We'll have to get back to you on that. Whatever it is, it wasn't important enough to get raised. So...",29,CFO
2025Q1,April 11 2025,37,Jamie Dimon,"It could be the First Republic accounting, yes.",8,CEO
2025Q1,April 11 2025,38,Jeremy Barnum,"Yes, anything is possible. We'll get back to you on that.",11,CFO
2025Q1,April 11 2025,39,Matt O'Connor,Okay. Thank you.,3,Analyst
2025Q1,April 11 2025,40,Operator,Thank you. Our next question comes from Steven Chubak with Wolfe Research. You may proceed.,15,Operator
2025Q1,April 11 2025,41,Steven Chubak,"Hi, good morning, and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate volatility. The treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing US treasuries if those reforms are implemented? And just how you're managing rate risk maybe more holistically across the firm just in light of some of the recent volatility?",99,Analyst
2025Q1,April 11 2025,42,Jamie Dimon,"Yeah. So, SLR alone isn't going to change that much for us. It may change for other people. We really need reform across SLR, G-SIFI, CCAR, Basel III and LCR, all of which has deep flaws in them, to make a material change. And remember, it's not relief to the banks. It's relief to the markets. JPMorgan will be fine with/without an SLR change.

The reason to change some of these things is so banks -- the big market makers could intermediate more in the markets. If they don't -- if they do, spreads will come in, there'll be more active traders. If they don't, the Fed will have to intermediate, which I think is just a bad policy idea, but every time there's a kerfuffle in the markets, the Fed has to come in and intermediate. So, they should make these changes.

The reason why is when you have very -- lot of volatile markets and very widespread and low liquidity in treasuries, it affects all other capital markets. That's the reason to do it, not as a favor to the banks themselves. And anyway -- and we don't take more interest rate exposure to this in any way, shape or form. It's not like we're going to change our position. We intermediate the markets, help clients do what they have to do. And if the banks could take bigger positions, they would have just larger dealer positions and take no -- basically take not much more interest rate exposure. I should say that our folks did a fabulous job trading this quarter.",264,CEO
2025Q1,April 11 2025,43,Jeremy Barnum,"And Steve, all I would add to that is that it is, of course, true and we all remember the moment a few years ago when intermediaries were in fact bound by us alone as a result of the expansion of deposit base and extraordinary actions needed to be taken to address that. So, we've seen when it is binding and it works not as designed, which is why we do very much agree that it should be fixed.

I think our point is a little bit, as Jamie said in his Chairman's letter, that it's not the only thing that needs to be fixed and there are interactions among all these things, and we as a bank are not particularly bound by it. There is some interesting nuance too in terms of the potential TLAC issuance impact there, which is quite sensitive to which particular fix gets put in. So that will be an interesting thing to watch.",159,CFO
2025Q1,April 11 2025,44,Steven Chubak,"Thank you both for that perspective. And just for my follow-up, did want to ask on the Markets outlook. So, admittedly less surprising to hear some of the cautious IB commentary in light of the uncertainty, but was hoping you could just speak to the Markets businesses, which have been performing extraordinarily well of late. And just given the combination of elevated volatility, but also some indications that clients are taking down risk, how you expect that business to perform over the coming quarters?",84,Analyst
2025Q1,April 11 2025,45,Jeremy Barnum,"Yeah. It's a good question. As you know, Steve, we're obviously not going to give Markets guidance. Your guess is as good as ours at some level, but the ingredients are the right ingredients. I mean, we've often discussed about how this business, all else equal, benefits from a volatile environment if markets are operating relatively normally, which they more or less have been. Of course, it's not guaranteed. We need to do a good job managing the risk. And yeah, there are states of the world where if our clients are struggling or deleveraging or taking down risk that could be a headwind for us. So, we're going to just do what we always do and try to manage the risk well and serve our clients, but we're certainly happy to see the performance this quarter.",137,CFO
2025Q1,April 11 2025,46,Steven Chubak,That's great. Thank you both for taking my questions.,9,Analyst
2025Q1,April 11 2025,47,Operator,Thank you. Our next question comes from Gerard Cassidy with RBC Capital Markets. You may proceed.,16,Operator
2025Q1,April 11 2025,48,Gerard Cassidy,"Thank you. Hi, Jeremy. Hi, Jamie. Can you guys share with us, if you take a look at the non-traditional lenders, private credit lenders, they've been very active in grabbing market share from the traditional commercial banks over the last two or three years, particularly since the initial Basel III endgame proposal came out in July of '23, which is no longer applicable. But are you guys seeing any opportunities where the customers may re-intermediate back into the banks like your bank because of this volatility?",86,Analyst
2025Q1,April 11 2025,49,Jeremy Barnum,"I mean, it's hard to tell, Gerard. I think it's too early to tell. But what I would say is that it kind of your question aligns with what we've been saying about the space for some time, which is, we want to be product agnostic here and give our clients the best option that makes sense for them in the moment. Whether that's a traditional syndicated lending facility or something that looks more like a unitranche direct lending-type structure, we're open for business for all of it.

And I would say that when we talk about the financial system being a source -- the banking system being a source of strength in this environment, part of what we're talking about is our commitment and willingness to lend through cycles as we've always done in the past and that we have the underwriting capability and the capital and the liquidity and the experience to be reliable lenders and serving our clients no matter what type of environment we're in. So, if that means that we have an opportunity to compete incrementally even more effectively in this environment, that will be great.",191,CFO
2025Q1,April 11 2025,50,Gerard Cassidy,"Very good. Thank you. And then, as a follow-up, you both just talked about the potential changes to the different regulatory outcomes for you and your peers, whether it's SLR or the G-SIB buffer, et cetera. Can you opine for us your views? Are you more confident with the new administration, the new personnel, whether it's Treasury Secretary Bessent or others, the nominees for different regulatory heads, that there will be a better chance of real regulatory reform they see it the way you guys do versus the prior administration?",90,Analyst
2025Q1,April 11 2025,51,Jeremy Barnum,"Yeah. I mean, Gerard, we always say this and it's true, which is that we work with all administrations and every administration as constructively as possible to express our opinions and advocate for the things that we think are right for the banking system and for the economy as a whole. And that was true before and it's true now with this administration as well.

Clearly, the administration has been quite vocal about wanting more pro-growth policies at the margin and for wanting to make it easier for banks to participate more constructively in the economy. And as we see the various folks and the various agencies go through the confirmation process, it will be helpful to have people in seats and get to work on some of the things that we want to get done. So, let's see how that plays out, but we're looking forward to continuing to engage constructively.",152,CFO
2025Q1,April 11 2025,52,Jamie Dimon,"Yeah. I think there's a deep recognition of the flaws in the system. And there should be -- and fortunately, they're going to take a good look at it.",29,CEO
2025Q1,April 11 2025,53,Gerard Cassidy,Very good. Thank you.,4,Analyst
2025Q1,April 11 2025,54,Jeremy Barnum,"Thanks, Gerard.",2,CFO
2025Q1,April 11 2025,55,Operator,Thank you. Our next question comes from Ebrahim Poonawala with Bank of America. You may proceed.,16,Operator
2025Q1,April 11 2025,56,Ebrahim Poonawala,"Thank you. Good morning. I guess just wanted to follow-up on the macro uncertainty. I think when you talk to investors, we've gone from enthusiasm for a pro-business administration to a lot of headwinds. And I think Jamie mentioned you will have companies take down guidance, et cetera, potentially over the coming weeks. I'm just wondering what is it you think we need to see before this uncertainty abates? Are the 90-day pause that we saw with some of the other countries on tariffs, is that enough? Or I'm just wondering when you talk to clients, corporate CEOs, what are they looking for from the administration that would inject confidence to get back anywhere close to where we were maybe 60 or 90 days ago?",125,Analyst
2025Q1,April 11 2025,57,Jamie Dimon,"First of all, some of all the issues that are raised existed before the new administration, like the geopolitical situation, the excess fiscal deficits, poorly done regulations and all of that. Obviously, pro-growth is good, pro-business is good, pro-dereg is good. I think the best thing to do is to allow the Secretary of Treasury and the folks working with him in the administration to finish as quick as possible the agreements that they need to make with -- around tariffs and with our trading partners. And I think there'll be agreements in principle, they're not going to be -- trade agreements themselves would be 5,000 or 10,000 pages long. And that's the best way to go about it right now. That does not mean you won't have some of the effects take place anyway.",135,CEO
2025Q1,April 11 2025,58,Ebrahim Poonawala,"Got it. And I guess, as a follow-up, I think there's a lot of concern also in the treasury markets. We've seen the 10-year move from 3.99% to 4.50% in a matter of week. Just your comfort level in terms of the functioning of the treasury market? Do you see the Fed stepping in, pausing QT, maybe even initiating some treasury purchases? Any color would be great.",67,Analyst
2025Q1,April 11 2025,59,Jamie Dimon,"Yeah. But again, I mean, we have sticky inflation. We had that before. I personally have told you, I don't think that's going to go away and that relates to that. Obviously, the US dollar still is the reserve currency, and that isn't going to change, though some people may feel slightly differently about it. And the Fed -- we've been consistent. There will be a kerfuffle of the treasury markets because of all the rules and regulations. I've told you that consistently it happened in COVID, it happened before, it happened, that will happen and then when that happens, the Fed will step in. That's what happens. And they're not going to do it now because you don't have all those issues yet. They'll do it when they start to panic a little bit and we don't know if and when that's going to happen and we'll see.

But the notion that the 10-year treasury has to go down is a false notion. If we look at history in prior times, we have huge global deficits back in the '70s, in the '60s, the guns and butter, tariffs, at least our economists think, will be inflationary to 0.5% or something like that. So, we'll have to wait and see and deal with it.",214,CEO
2025Q1,April 11 2025,60,Ebrahim Poonawala,Thank you.,2,Analyst
2025Q1,April 11 2025,61,Jamie Dimon,For most -- mostly we haven't dealt with this stuff before and you're going to see a lot of stuff taking place shortly in the next couple of months and then we'll know.,33,CEO
2025Q1,April 11 2025,62,Ebrahim Poonawala,Got it. Thank you so much.,6,Analyst
2025Q1,April 11 2025,63,Operator,Thank you. Our next question comes from Jim Mitchell with Seaport Global Securities. You may proceed.,16,Operator
2025Q1,April 11 2025,64,Jim Mitchell,"Hey, good morning. Jeremy, just on with four -- three to four cuts sort of mostly in the back half, June to December, how do you think about the trajectory of NII this year? Is there a little more pressure towards the end of the year into '26? Just trying to think of that -- around that trajectory and jumping off point into next year.",65,Analyst
2025Q1,April 11 2025,65,Jeremy Barnum,"Yeah. It's funny, Jim, because I was asked on the press call how come we're not like suspending guidance or whatever, and my answer was like, well, whatever [the guidance] (ph), we do our best and it's contingent on a variety of external variables and we always make our guidance contingent on that. So -- and that comes...",58,CFO
2025Q1,April 11 2025,66,Jamie Dimon,"The yield curve you're using, which we know will not happen.",11,CEO
2025Q1,April 11 2025,67,Jeremy Barnum,"And the particular nuance as you recall from last quarter where we went into some detail about the various drivers of the NII outlook, including a little bit of a suggestion about the quarterly trajectory is that it's both the timing of rates and the -- our expected evolution of deposit growth in the different businesses and how evolved and how that was all going to interact, producing potential trough in different moments and then so on and so forth.

I think that given everything that's going on, on that one, probably we'll wait for next quarter to give you any more color on that. Certainly, the back-loaded cuts, all else equal, from a run rate perspective introduce a little bit of a headwind on an exit rate going into next year, we'll just have to see how the balances play out through the next three quarters.",147,CFO
2025Q1,April 11 2025,68,Jim Mitchell,Right. And maybe just...,4,Analyst
2025Q1,April 11 2025,69,Jamie Dimon,It will not happen that way. And we have a lot of options and we want to do change our exposure to interest rate.,24,CEO
2025Q1,April 11 2025,70,Jim Mitchell,"Right. And maybe just on that point on volumes and deposits, obviously, this kind of volatility tends to drive -- as corporates and investors go to cash, tends to drive higher deposits. Did you see that trend in March and particularly in April? What are the trends like in the deposit side of the equation?",55,Analyst
2025Q1,April 11 2025,71,Jeremy Barnum,"It's a little hard to tell, to be honest. It is true that wholesale deposit this quarter outperformed for us relative to our expectations. I don't think I can say with any confidence that that's a result of the environment that we're in. So, I think next quarter will probably be a better time to assess that.",57,CFO
2025Q1,April 11 2025,72,Jamie Dimon,"I'll just also say that it may not be deposits, it may be treasury bills or various other things. And what you've seen, which is different, is not the risk-off trade in the 10-year. That is fundamentally different this time.",40,CEO
2025Q1,April 11 2025,73,Jim Mitchell,Right. Okay. Thanks for taking my questions.,7,Analyst
2025Q1,April 11 2025,74,Jeremy Barnum,Thanks.,1,CFO
2025Q1,April 11 2025,75,Operator,Thank you. Our next question comes from Betsy Graseck with Morgan Stanley. You may proceed.,15,Operator
2025Q1,April 11 2025,76,Betsy Graseck,"Thanks. Good morning, Jamie. Good morning, Jeremy. Two questions, one for Jamie to kick off. Jamie, you've been through many cycles. And I think we're all interested in understanding how you think this next cycle is likely to progress. And I'm wondering, is there anything that you've seen in the past that looks like this or that you would suggest if any slowdown coming forward, is it more likely to be similar to what kind of prior cycle you've seen?",80,Analyst
2025Q1,April 11 2025,77,Jamie Dimon,"Again, almost impossible to answer. We look at all the cycles. We prepare for a full range of outcomes. So, not -- I don't personally like predicting what the future is going to hold, but I do -- I pointed out over and over, there's a lot of issues out there. I think some of those issues you are going to see them resolve for better or for worse in the next four months. So, maybe when we're doing this call next quarter, we won't have to be guessing. We actually know what the effect of some of these things was with some predictability and stuff like that.

But it's -- the result in a bank is almost always the same, which is volatile markets, credit losses go up, people get more conservative, investments go down. It looks like a recession. Is it mild or hard? I don't know. But we are -- I've been quite cautious and you can see it in our capital, liquidity, our position, our balance sheet, and so we're prepared. But we do all that so we can serve our clients through thick or thin. We're not guessing about what the future is going to hold. Obviously, if you look at our numbers, we have the margins and capability to get through just about anything.",220,CEO
2025Q1,April 11 2025,78,Betsy Graseck,"Excellent. Okay. No, thank you for that. And then...",9,Analyst
2025Q1,April 11 2025,79,Jamie Dimon,"So, Betsy, this is different, okay? This is different. This is the global economy and please read my Chairman's letter, the most important thing to me is the Western world stays together economically when we get through all this and militarily to keep the world safe and free for democracy. That is the most important thing. I really almost don't care fundamentally about what the economy does in the next two quarters. That isn't that important. We'll get through that. We've had recessions before and all that. It's the ultimate outcome. What's the goal? How can we get there? And it's literally that. I mean, and I -- the China issue is a major issue. I don't know how that's going to turn out. We obviously have to follow the law of the land, but it's a significant change we've never seen in our lives.",145,CEO
2025Q1,April 11 2025,80,Betsy Graseck,"Okay. Thank you so much for that. And yes, looking forward to the next four months and clarity coming.

So, then, one for Jeremy. Question on the wholesale loans. I'm going into this because I noticed your average loan growth, I think it was running at about 2% year-on-year, and then end-of-period loans was up 5% and wholesale loans was up 7%. So, I'm just wondering if there was some line drawdowns at quarter-end. And it's a broader question on just liquidity, do you see your customers looking for more liquidity? Are they drawing down lines? And maybe if you could speak to liquidity in the front end of the market that'd be helpful too. Thank you.",117,Analyst
2025Q1,April 11 2025,81,Jeremy Barnum,"Yeah. It's a good question, Betsy. So, a couple of things. One is, in our soundings of our wholesale clients during sort of the moments of peak uncertainty, we did hear them talking about wanting to focus on [shoring up] (ph) liquidity. Interestingly, I actually asked the question like a day ago, whether we were seeing draws -- meaningfully observable draws from clients. And the answer to that question was no, at least not yet. So, I don't know what to make of that, but perhaps it suggests that we do not see that level of heightened anxiety that people are more just focusing on addressing their supply chain issues right now.

Yeah, so on wholesale loans, beyond that, I don't think there's that much of a story. Now, we're seeing a bit more growth in sort of like Markets loans as opposed to traditional C&I loans in the current moment, but that's another hurdle there.

Did you -- yeah, you asked -- what did you ask, also front end of the yield curve liquidity?",175,CFO
2025Q1,April 11 2025,82,Betsy Graseck,"Yeah, just in money markets, fed funds, the front-end seem to suggest...",12,Analyst
2025Q1,April 11 2025,83,Jeremy Barnum,Yeah. What we've heard from our markets colleagues is that that's actually functioning quite smoothly.,15,CFO
2025Q1,April 11 2025,84,Betsy Graseck,Okay. Thank you.,3,Analyst
2025Q1,April 11 2025,85,Jeremy Barnum,Thanks.,1,CFO
2025Q1,April 11 2025,86,Operator,Thank you. Our next question comes from Mike Mayo with Wells Fargo Securities. You may proceed.,16,Operator
2025Q1,April 11 2025,87,Mike Mayo,"Hey, Jamie, you just said on this call, there's a ""deep recognition of flaws"" by the new regulatory regime. And can you put -- you or Jeremy put some meat on the bones as far as what's been an ideal scenario? You keep the safety and soundness of the system, but you rid as much as red tape and bureaucracy as possible. How much could expenses potentially decline? I assume you'd pass on some of that to customers and you'd keep some of that and the regulators would save money. So, some meat on the bones about the potential concrete savings from deregulation?

But before that, the negative which you highlight in the press release and the Chairman letter about the trade wars, Jamie, you went from trade wars ""get over it"" to this week say ""do something."" So just as far as the tariff journey, what were you initially expecting to what happened? And do you really think next earnings call will be through most of the uncertainty? Thanks.",170,Analyst
2025Q1,April 11 2025,88,Jamie Dimon,"Yeah. No, I don't think we'll necessarily be through all the uncertainty. I think you'll just know a lot more. And my quote was about to ""get over it,"" I wish I hadn't said it. I was specifically referring tariffs relating to protecting national security. National security is paramount. All things should be subordinated to it.

You may need tariffs to help fix some of the problems related to national security. National security is a small part of trade. So -- and it's rare earths, penicillin, medical ingredients, certain types of -- obviously, you've heard about semiconductors. That was my quote about ""get over it."" I did not change my view about it.

I would like to see the administration negotiate trade deals. I think that'll be good for everybody, and they want to do it, too. Maybe the extent they want to do it, they said they're having conversations with 70 or 80 different people. And so, I do think if the regulators change regulations, it will free up capital and liquidity to finance the system.

And I don't -- I wouldn't expect an expense drawdown that you're going to see, okay? There will be thousands -- hundreds of people maybe, but it's not going to be [passed on] (ph), but it will reduce net-net the cost of liquidity and the cost of loans and the cost of mortgages if it's done right.

I specifically pointed out the mortgage issue in my Chairman's letter this year about if they do some of these reforms, the cost of mortgages come down 70 basis points. If I were them, I'd be focusing that right now.",274,CEO
2025Q1,April 11 2025,89,Mike Mayo,"No. And you also mentioned hundreds of billions of dollars of extra lending if you reduce the CET1 ratio, I guess, back down by one-fifth. So...",26,Analyst
